	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
1009	inthevalleyofelah.htm	In the Valley of Elah 	6777741	Warner Independent	War Drama	14/9/07	2 hrs. 1 min.	N/A	R
1010	intoeternity.htm	Into Eternity 	55366	International Film Circuit	Documentary	2/2/11	1 hrs. 15 min.	N/A	Unrated
1011	intogreatsilence.htm	Into Great Silence 	790452	Zeitgeist	Documentary	28/2/07	2 hrs. 49 min.	N/A	Unrated
1012	intothewild.htm	Into the Wild 	18354356	Paramount Vantage	Adventure	21/9/07	2 hrs. 20 min.	N/A	R
1013	introducingthedwights.htm	Introducing the Dwights 	379408	Warner Independent	Comedy / Drama	4/7/07	1 hrs. 46 min.	N/A	R
1014	invasion.htm	The Invasion 	15074191	Warner Bros.	Sci-Fi Thriller	17/8/07	1 hrs. 33 min.	$80 million	PG-13
1015	inventionoflying.htm	The Invention of Lying 	18451251	Warner Bros.	Fantasy Comedy	2/10/09	1 hrs. 40 min.	$18.5 million	PG-13
1016	invincible06.htm	Invincible 	57806952	Buena Vista	Sports Drama	25/8/06	1 hrs. 44 min.	N/A	PG
1017	invisible.htm	The Invisible 	20578909	Buena Vista	Horror Thriller	27/4/07	1 hrs. 37 min.	N/A	PG-13
1018	iousa.htm	I.O.U.S.A. 	821046	Roadside Attractions	Documentary	22/8/08	1 hrs. 25 min.	N/A	PG
1019	ipman2.htm	Ip Man 2: Legend of the Grandmaster 	205675	Variance Films	Foreign / Action	28/1/11	1 hrs. 47 min.	N/A	R
1020	iraandabby.htm	Ira &amp; Abby 	221096	Magnolia	Romantic Comedy	14/9/07	1 hrs. 41 min.	N/A	R
1021	iraqinfragments.htm	Iraq in Fragments 	204462	Arab Film Dist.	Documentary	8/11/06	1 hrs. 34 min.	N/A	Unrated
1022	irinapalm.htm	Irina Palm 	44383	Strand	Drama	21/3/08	1 hrs. 43 min.	N/A	R
1023	ironisland.htm	Iron Island 	27177	Kino	Foreign	31/3/06	1 hrs. 30 min.	N/A	Unrated
1024	ironman.htm	Iron Man 	318412101	Paramount	Action / Adventure	2/5/08	2 hrs. 6 min.	$140 million	PG-13
1025	ironman2.htm	Iron Man 2 	312433331	Paramount	Action / Adventure	7/5/10	2 hrs. 5 min.	$200 million	PG-13
1026	isanybodythere.htm	Is Anybody There? 	2026756	Story Island Entertainment	Drama	17/4/09	1 hrs. 34 min.	N/A	PG-13
1027	isawthedevil.htm	I Saw the Devil 	129210	Magnolia	Foreign	4/3/11	2 hrs. 21 min.	N/A	Unrated
1028	iservedthekingofengland.htm	I Served the King of England 	617403	Sony Classics	Foreign	29/8/08	2 hrs. 0 min.	N/A	R
1029	islander.htm	Islander 	102737	Slowhand Cinema	Drama	9/3/07	1 hrs. 40 min.	N/A	R
1030	ispitonyourgrave.htm	I Spit on Your Grave 	93051	Anchor Bay Films	Horror	8/10/10	1 hrs. 48 min.	$2 million	Unrated
1031	italian.htm	The Italian 	555436	Sony Classics	Foreign	19/1/07	1 hrs. 39 min.	N/A	PG-13
1032	ithinkilovemywife.htm	I Think I Love My Wife 	12550605	Fox Searchlight	Romantic Comedy	16/3/07	1 hrs. 30 min.	$11 million	R
1033	itmightgetloud.htm	It Might Get Loud 	1610163	Sony Classics	Documentary	14/8/09	1 hrs. 37 min.	N/A	PG
1034	itrustyoutokillme.htm	I Trust You to Kill Me 	12854	First Independent Pictures	Documentary	8/9/06	1 hrs. 29 min.	N/A	R
